GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openapi-spring,org.openapitools,RFC3339DateFormat,2,34,0,0,1,7,1,4,1,4
openapi-spring,org.openapitools,OpenApiGeneratorApplication,5,7,0,0,2,2,1,2,1,2
openapi-spring,org.openapitools.api,PasswordApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,BrowserCompatibilityApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,CredentialsObscuredApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,LoginPageLoadApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,LoginButtonStatusApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,CredentialsObscuredApi,38,0,4,0,10,0,5,0,3,0
openapi-spring,org.openapitools.api,UsernameApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,UsernameApi,50,0,6,0,14,0,6,0,3,0
openapi-spring,org.openapitools.api,ApiUtil,9,18,0,0,4,5,1,1,1,1
openapi-spring,org.openapitools.api,LoginApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,AccessibilityApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,LoginButtonClickApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,LoginButtonStatusApi,38,0,4,0,10,0,5,0,3,0
openapi-spring,org.openapitools.api,BrowserCompatibilityApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,LoginPageLoadApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,AccessibilityApiController,4,6,0,0,1,3,1,1,1,1
openapi-spring,org.openapitools.api,LoginApi,66,0,6,0,13,0,5,0,2,0
openapi-spring,org.openapitools.api,ViewportApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.api,ViewportApi,7,0,0,0,2,0,2,0,2,0
openapi-spring,org.openapitools.api,PasswordApi,38,0,4,0,10,0,5,0,3,0
openapi-spring,org.openapitools.api,LoginButtonClickApiController,0,10,0,0,0,4,0,2,0,2
openapi-spring,org.openapitools.model,CredentialsObscuredGet200Response,0,83,0,8,0,21,0,12,0,8
openapi-spring,org.openapitools.model,LoginPostRequest,2,145,2,18,1,30,2,20,0,12
openapi-spring,org.openapitools.model,LoginButtonStatusGet200Response,0,83,0,8,0,21,0,12,0,8
openapi-spring,org.openapitools.model,UsernamePostRequest,45,38,2,6,9,12,4,8,3,5
openapi-spring,org.openapitools.configuration,HomeController,2,3,0,0,1,1,1,1,1,1
openapi-spring,org.openapitools.configuration,SpringDocConfiguration,0,17,0,0,0,4,0,2,0,2
